Date of Sale (dd/mm/yyyy),Sale Year,Sale Month,is_apartment,location,Description of Property,Not Full Market Price,Price_Adjusted_VAT_Clamped,vat_adjusted_flag
2016-12-29,2016,12,0,Cork,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-04-26,2016,4,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,125000.0,0
2016-12-09,2016,12,0,Cork,New Dwelling house /Apartment,No,153163.08575000003,1
2016-06-15,2016,6,0,Donegal,Second-Hand Dwelling house /Apartment,No,112000.0,0
2016-02-29,2016,2,0,Wexford,Second-Hand Dwelling house /Apartment,No,82000.0,0
2016-03-15,2016,3,0,Limerick,Second-Hand Dwelling house /Apartment,No,86000.0,0
2016-06-08,2016,6,0,Galway,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-04-19,2016,4,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,430000.0,0
2016-08-26,2016,8,0,Mayo,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-11-09,2016,11,0,Louth,Second-Hand Dwelling house /Apartment,No,65000.0,0
2016-09-22,2016,9,0,Dublin 6W,Second-Hand Dwelling house /Apartment,No,721137.5,0
2016-01-28,2016,1,0,Meath,Second-Hand Dwelling house /Apartment,No,100000.0,0
2016-10-25,2016,10,0,Monaghan,New Dwelling house /Apartment,No,300775.0,1
2016-02-29,2016,2,0,Meath,Second-Hand Dwelling house /Apartment,No,140000.0,0
2016-12-16,2016,12,0,Dublin 27,Second-Hand Dwelling house /Apartment,No,200000.0,0
2016-01-05,2016,1,0,Cork,Second-Hand Dwelling house /Apartment,No,106000.0,0
2016-04-08,2016,4,0,Cork,New Dwelling house /Apartment,No,215800.00160000002,1
2016-11-02,2016,11,0,Kildare,New Dwelling house /Apartment,No,206000.23,1
2016-11-16,2016,11,0,Galway,Second-Hand Dwelling house /Apartment,No,180000.0,0
2016-10-27,2016,10,0,Dublin 15,Second-Hand Dwelling house /Apartment,No,147111.0,0
