Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,geocode_query,geocode_status,latitude,longitude
2016-12-22,"69 LA ROCHELLE, LAMB ALLEY, HIGH ST",Dublin,,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"69 LA ROCHELLE, LAMB ALLEY, HIGH ST, Dublin",ok_relaxed_area,53.34318,-6.273199
2016-05-20,"145 SLI AN CHOISTE, MONKSLAND, ATHLONE",Westmeath,,78000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5,"145 SLI AN CHOISTE, MONKSLAND, ATHLONE, Westmeath",ok,53.42678,-7.9914
2016-10-10,"3 COURTNEYS AVENUE, ROMAN STREET, CORK",Cork,,92000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10,"3 COURTNEYS AVENUE, ROMAN STREET, CORK",ok_relaxed_area,51.903968,-8.475925
2016-12-23,"11 ARDEE COURT, CORK ST, DUBLIN 8",Dublin,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"11 ARDEE COURT, CORK ST, DUBLIN 8",ok_relaxed_area,53.439213,-6.384126
2016-05-10,"1 Timore Close, Upper Newcastle, Newcastle",Wicklow,,375000.0,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5,"1 Timore Close, Upper Newcastle, Newcastle, Wicklow",ok,53.067604,-6.09624
2016-05-25,"7 DARGANS WAY, RAILWAY AVENUE, SUTTON",Dublin,,430000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5,"7 DARGANS WAY, RAILWAY AVENUE, SUTTON, Dublin",ok,53.391674,-6.120938
2016-06-24,"APT 3 FRIAR STREET, NENAGH, CO TIPPERARY",Tipperary,,30334.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"APT 3 FRIAR STREET, NENAGH, CO TIPPERARY",ok,52.863213,-8.197162
2016-04-07,"70 CHERRYWOOD DR, CLONDALKIN, DUBLIN 22",Dublin,,185000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"70 CHERRYWOOD DR, CLONDALKIN, DUBLIN 22",ok,53.320117,-6.409862
2016-10-12,"25 MOYLARAGH MEWS, BALBRIGGAN, DUBLIN",Dublin,,120000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10,"25 MOYLARAGH MEWS, BALBRIGGAN, DUBLIN",ok,53.610812,-6.204339
2016-11-04,"27 DOMINICK STREET, MULLINGAR, COUNTY WESTMEATH",Westmeath,,81300.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"27 DOMINICK STREET, MULLINGAR, COUNTY WESTMEATH",ok,53.524497,-7.345715
2016-05-03,"78 Cartrun Breac, Ballinalee Road, Longford",Longford,,64317.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5,"78 Cartrun Breac, Ballinalee Road, Longford",ok,53.738925,-7.806433
2016-03-22,"23 BRAMBLEFIELD CRESCENT, BLANCHARDSTOWN, DUBLIN",Dublin,,245000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"23 BRAMBLEFIELD CRESCENT, BLANCHARDSTOWN, DUBLIN",ok,53.404411,-6.414386
2016-07-06,"12 ELM DR, CAHERDAVIN LAWN, LIMERICK",Limerick,,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"12 ELM DR, CAHERDAVIN LAWN, LIMERICK",ok,52.671447,-8.668788
2016-12-17,"107 SLIABH, GORT, CARRON",Galway,,172000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"107 SLIABH, GORT, CARRON, Galway",ok_relaxed_area,53.06735,-8.819313
2016-12-05,"58 GRIFFITH AVE, CLONMEL, TIPPERARY",Tipperary,,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"58 GRIFFITH AVE, CLONMEL, TIPPERARY",ok,52.360206,-7.693369
2016-07-01,"7 STONEY HURST, DOORADOYLE, LIMERICK",Limerick,,135000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"7 STONEY HURST, DOORADOYLE, LIMERICK",ok_relaxed_area,52.638448,-8.64627
2016-02-29,"8 BOURLUM WOOD, GREEN RD, CARLOW",Carlow,,207000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"8 BOURLUM WOOD, GREEN RD, CARLOW",ok,52.736316,-6.975746
2016-02-05,"APT 11 THE GLEBE, TOGHER RD, MONASTEREVIN",Kildare,,65000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"APT 11 THE GLEBE, TOGHER RD, MONASTEREVIN, Kildare",ok,53.142266,-7.062106
2016-08-26,"5 THE MEADOWS, BRIARFIELDS, CASTLETROY",Limerick,,130500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"5 THE MEADOWS, BRIARFIELDS, CASTLETROY, Limerick",ok,52.665264,-8.555885
2016-06-08,"3 CLARINA RETIREMENT VILLAGE, CLARINA",Limerick,,87000.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,2016,6,"3 CLARINA RETIREMENT VILLAGE, CLARINA, Limerick",ok,52.649722,-8.628756
2016-12-20,"47 LUS MOR, WHITEROCK HILL, WEXFORD",Wexford,,145000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,12,"47 LUS MOR, WHITEROCK HILL, WEXFORD",ok,52.32376,-6.47669
2016-12-21,"42 ORCHARD GROVE, KENMARE, CO KERRY",Kerry,,170000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"42 ORCHARD GROVE, KENMARE, CO KERRY",ok,51.886077,-9.587304
2016-06-16,"10 RIVER WALK, BANKS, CORBALLY",Clare,,152000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"10 RIVER WALK, BANKS, CORBALLY, Clare",ok,53.407535,-6.182322
2016-09-30,"1 Ardilea Crescent, Heidelberg, Ardilea",Dublin,,1167750.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,9,"1 Ardilea Crescent, Heidelberg, Ardilea, Dublin",ok,53.296394,-6.227016
2016-05-12,"16 BRINKWATER HOUSE, QUINCENTENNIAL DR, SALTHILL",Galway,,80000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,5,"16 BRINKWATER HOUSE, QUINCENTENNIAL DR, SALTHILL, Galway",ok_relaxed_area,53.260508,-9.073884
2016-11-16,"13 GLENCASTLE, GLENBEIGH, KERRY",Kerry,,148000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"13 GLENCASTLE, GLENBEIGH, KERRY",ok,52.052845,-9.944852
2016-03-02,"Alpha Villa, Newcourt Road, Bray",Wicklow,,500000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"Alpha Villa, Newcourt Road, Bray, Wicklow",ok_relaxed_area,53.192417,-6.097452
2016-05-17,"35 DAKOTA COURT, ROYAL CANAL BANK, PHIBSBOROUGH DUBLIN 7",Dublin,,130000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5,"35 DAKOTA COURT, ROYAL CANAL BANK, PHIBSBOROUGH DUBLIN 7",ok_relaxed_area,53.358015,-6.272165
