Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,geocode_query,geocode_status,latitude,longitude
2016-07-18,"92 SOUTHGATE 1 7 CORK ST, DUBLIN 8, DUBLIN",Dublin,,249000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"92 SOUTHGATE 1 7 CORK ST, DUBLIN 8, DUBLIN",ok,53.336178,-6.288613
2016-07-22,"12 VILLAGE COURT, UPPER PATRICK ST, KILKENNY",Kilkenny,,375000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"12 VILLAGE COURT, UPPER PATRICK ST, KILKENNY",no_result,,
2016-12-21,"22 TEMPLE HALL, MOUNT SAINT ANNES, MILLTOWN",Dublin,,273127.75,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12,"22 TEMPLE HALL, MOUNT SAINT ANNES, MILLTOWN, Dublin",no_result,,
2016-11-28,"68 Dealg Ban, Ladysbridge",Cork,,220264.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,11,"68 Dealg Ban, Ladysbridge, Cork",ok,51.896938,-8.046095
2016-12-20,"91 THE ATRIUM, ROEBUCK HILL, FOSTERS AVE",Dublin,,365000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"91 THE ATRIUM, ROEBUCK HILL, FOSTERS AVE, Dublin",ok,53.299202,-6.208238
2016-06-03,"108 College Square, Terenure",Dublin,,596600.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,6,"108 College Square, Terenure, Dublin",ok,53.30746,-6.309111
2016-07-15,"8 AN CRANNLA, DRANSHA, BUNCRANA",Donegal,,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"8 AN CRANNLA, DRANSHA, BUNCRANA, Donegal",ok,55.125659,-7.445387
2016-08-02,"ST GERARDS, THE BATTERIES, ATHLONE",Westmeath,,107000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"ST GERARDS, THE BATTERIES, ATHLONE, Westmeath",no_result,,
2016-09-16,"1 THORNMANBY ROAD, HOWTH, DUBLIN 13",Dublin,,425000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"1 THORNMANBY ROAD, HOWTH, DUBLIN 13",ok,53.383895,-6.062892
2016-12-13,"DRUMBEE, KILNALECK, COUNTY CAVAN",Cavan,,69320.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"DRUMBEE, KILNALECK, COUNTY CAVAN",no_result,,
2016-12-09,"32 Downview, Farranlea Road",Cork,,156800.57,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12,"32 Downview, Farranlea Road, Cork",ok,52.126361,-8.644621
2016-07-22,"15 CLUAIN AITEANN, BREE, ENNISCORTHY",Wexford,,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"15 CLUAIN AITEANN, BREE, ENNISCORTHY, Wexford",ok,52.434043,-6.607315
2016-09-09,"41 OLD ISLAND RD, ISLAND RD, LIMERICK",Limerick,,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"41 OLD ISLAND RD, ISLAND RD, LIMERICK",no_result,,
2016-08-26,"BLOCK 4 APT 12, MAIN ST, TULLAMORE",Offaly,,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"BLOCK 4 APT 12, MAIN ST, TULLAMORE, Offaly",no_result,,
2016-04-20,"5 Coirneal Chearta, Kilkee, Co. Clare",Clare,,74008.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,4,"5 Coirneal Chearta, Kilkee, Co. Clare",ok,52.678897,-9.64409
2016-07-27,"35 DANGAN HEIGHTS, GALWAY, GALWAY",Galway,,277000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"35 DANGAN HEIGHTS, GALWAY, GALWAY",ok,53.289745,-9.081154
2016-01-05,"10 Ard Dara Drive, Station Road, Blarney",Cork,,340000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"10 Ard Dara Drive, Station Road, Blarney, Cork",no_result,,
2016-01-23,"96 Ros Ard, Upper Glanmire, Ballinvriskig",Cork,,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"96 Ros Ard, Upper Glanmire, Ballinvriskig, Cork",ok,51.952796,-8.42455
2016-10-11,"CLOUGLEAFIN, MITCHELSTOWN, CO CORK",Cork,,55000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10,"CLOUGLEAFIN, MITCHELSTOWN, CO CORK",no_result,,
2016-10-12,"30 DUN CORAN, YOUGHAL, CO CORK",Cork,,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10,"30 DUN CORAN, YOUGHAL, CO CORK",ok,51.956253,-7.865151
2016-04-11,"110 CRANN NUA, PORTARLINGTON, LAOIS",Laois,,102000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"110 CRANN NUA, PORTARLINGTON, LAOIS",no_result,,
2016-11-21,"2 ST BRIGIDS CLOSE, KILLESTER, DUBLIN 5",Dublin,,400000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"2 ST BRIGIDS CLOSE, KILLESTER, DUBLIN 5",ok,53.267524,-6.16986
